exp,solver,att,comb_num,best_hyp
2,APS,attr,1,B
2,APS,attr,2,B
2,APS,attr,3,B
2,APS,attr,4,B
2,APS,rep,1,B
2,APS,rep,2,B
2,APS,rep,3,B
2,APS,rep,4,B
2,APS,dd,1,B
2,APS,dd,2,B
2,APS,dd,3,B
2,APS,dd,4,B
2,APS,pd,1,B
2,APS,pd,2,B
2,APS,pd,3,B
2,APS,pd,4,B
2,MCTS,attr,1,C
2,MCTS,attr,2,C
2,MCTS,attr,3,E
2,MCTS,attr,4,E
2,MCTS,rep,1,E
2,MCTS,rep,2,E
2,MCTS,rep,3,E
2,MCTS,rep,4,E
2,MCTS,dd,1,E
2,MCTS,dd,2,B
2,MCTS,dd,3,E
2,MCTS,dd,4,B
2,MCTS,pd,1,B
2,MCTS,pd,2,B
2,MCTS,pd,3,A
2,MCTS,pd,4,A
2,SA,attr,1,E
2,SA,attr,2,A
2,SA,attr,3,B
2,SA,attr,4,A
2,SA,rep,1,B
2,SA,rep,2,B
2,SA,rep,3,B
2,SA,rep,4,B
2,SA,dd,1,B
2,SA,dd,2,B
2,SA,dd,3,B
2,SA,dd,4,B
2,SA,pd,1,D
2,SA,pd,2,D
2,SA,pd,3,D
2,SA,pd,4,D
3,APS,attr,1,B
3,APS,attr,2,B
3,APS,attr,3,B
3,APS,attr,4,B
3,APS,rep,1,B
3,APS,rep,2,B
3,APS,rep,3,B
3,APS,rep,4,B
3,APS,dd,1,B
3,APS,dd,2,B
3,APS,dd,3,B
3,APS,dd,4,A
3,APS,pd,1,B
3,APS,pd,2,B
3,APS,pd,3,B
3,APS,pd,4,A
3,MCTS,attr,1,B
3,MCTS,attr,2,C
3,MCTS,attr,3,B
3,MCTS,attr,4,B
3,MCTS,rep,1,B
3,MCTS,rep,2,C
3,MCTS,rep,3,B
3,MCTS,rep,4,B
3,MCTS,dd,1,B
3,MCTS,dd,2,E
3,MCTS,dd,3,B
3,MCTS,dd,4,A
3,MCTS,pd,1,B
3,MCTS,pd,2,A
3,MCTS,pd,3,A
3,MCTS,pd,4,A
3,SA,attr,1,B
3,SA,attr,2,A
3,SA,attr,3,B
3,SA,attr,4,B
3,SA,rep,1,B
3,SA,rep,2,A
3,SA,rep,3,B
3,SA,rep,4,E
3,SA,dd,1,B
3,SA,dd,2,E
3,SA,dd,3,B
3,SA,dd,4,E
3,SA,pd,1,D
3,SA,pd,2,A
3,SA,pd,3,B
3,SA,pd,4,B
